Date,Open,High,Low,Close,Adj Close,Volume
2011-04-06,57.560001,57.730000,56.930000,57.259998,51.515648,49532100
2011-04-07,57.240002,57.599998,56.810001,57.220001,51.479668,60697000
2011-04-08,57.480000,57.570000,56.650002,56.950001,51.236763,42782200
2011-04-11,57.169998,57.290001,56.560001,56.759998,51.065811,42451700
2011-04-12,56.500000,56.639999,56.150002,56.369999,50.714939,50422800
2011-04-13,56.790001,57.000000,56.400002,56.849998,51.146774,49979800
2011-04-14,56.459999,56.830002,56.230000,56.750000,51.056828,53544100
2011-04-15,56.529999,56.869999,56.279999,56.650002,50.966846,68530000
2011-04-18,56.080002,56.270000,55.320000,56.250000,50.606976,69065000
2011-04-19,56.400002,56.599998,56.099998,56.599998,50.921860,38608400
2011-04-20,57.599998,57.939999,57.529999,57.880001,52.073463,67397500
2011-04-21,58.439999,58.470001,58.160000,58.340000,52.487312,43666800
2011-04-25,58.389999,58.520000,58.279999,58.490002,52.622257,25376800
2011-04-26,58.639999,59.029999,58.509998,58.820000,52.919155,49400000
2011-04-27,58.930000,59.290001,58.660000,59.220001,53.279018,56465500
2011-04-28,59.040001,59.230000,58.880001,59.130001,53.198051,48100000
2011-04-29,59.020000,59.290001,58.980000,59.080002,53.153072,44831200
2011-05-02,59.169998,59.340000,58.820000,58.970001,53.054108,48149400
2011-05-03,58.939999,59.000000,58.330002,58.689999,52.802193,38100000
2011-05-04,58.720001,58.869999,58.110001,58.599998,52.721230,53097200
2011-05-05,58.310001,58.970001,58.080002,58.279999,52.433331,72200000
2011-05-06,58.860001,59.200001,58.310001,58.470001,52.604282,72507000
2011-05-09,58.570000,58.919998,58.340000,58.689999,52.802193,40022000
2011-05-10,58.860001,59.279999,58.779999,59.189999,53.252029,38053600
2011-05-11,59.099998,59.310001,58.360001,58.759998,52.865173,61900000
2011-05-12,58.580002,59.189999,58.240002,59.110001,53.180069,66100000
2011-05-13,58.970001,59.070000,58.389999,58.410000,52.550282,63506600
2011-05-16,58.139999,58.320000,57.270000,57.400002,51.641621,73115300
2011-05-17,57.099998,57.570000,56.980000,57.560001,51.785568,63136000
2011-05-18,57.480000,58.139999,57.410000,58.040001,52.217403,42351100
2011-05-19,58.220001,58.340000,57.849998,58.209999,52.370358,35015800
2011-05-20,58.150002,58.209999,57.689999,57.770000,51.974495,44703300
2011-05-23,56.980000,57.150002,56.650002,56.919998,51.209755,43700000
2011-05-24,57.060001,57.070000,56.560001,56.570000,50.894875,39314800
2011-05-25,56.500000,57.060001,56.470001,56.790001,51.092808,41369000
